"instance","before_fitness","after_fitness","time_diff_microseconds"
"br17",260,39,23397
"br17",196,39,23642
"br17",272,39,28201
"br17",235,39,25609
"br17",236,39,27487
"br17",355,39,30104
"br17",171,39,27819
"br17",209,39,24281
"br17",282,39,23211
"br17",277,39,23307
"br17",244,39,22940
"br17",262,39,23577
"br17",198,39,24519
"br17",191,39,21570
"br17",167,40,29378
"br17",248,39,25368
"br17",233,41,20965
"br17",237,39,28428
"br17",379,39,26677
"br17",256,39,23219
"br17",183,39,23843
"br17",224,44,30315
"br17",234,39,22250
"br17",309,39,24086
"br17",307,39,25456
"br17",281,39,27251
"br17",268,39,22785
"br17",226,39,26870
"br17",284,39,24155
"br17",169,39,21838
"ftv33",4283,1849,209869
"ftv33",5009,2022,234258
"ftv33",4475,1799,224098
"ftv33",4389,2029,204081
"ftv33",4379,2038,211846
"ftv33",4006,1957,215356
"ftv33",4566,2029,258655
"ftv33",4618,1949,235852
"ftv33",4081,1791,207675
"ftv33",4628,1917,265399
"ftv33",4476,1908,212772
"ftv33",3982,2029,224691
"ftv33",4565,1795,201827
"ftv33",4425,2060,213424
"ftv33",4444,1793,227444
"ftv33",4718,1817,241060
"ftv33",4339,1862,209899
"ftv33",3989,1914,223510
"ftv33",4065,1895,260919
"ftv33",4692,1938,227200
"ftv33",4605,2040,219893
"ftv33",4480,2012,172970
"ftv33",3763,2082,214629
"ftv33",4615,2079,199525
"ftv33",4720,1796,234047
"ftv33",4558,2020,243213
"ftv33",4674,1962,204461
"ftv33",4486,2089,196121
"ftv33",4660,2037,242049
"ftv33",4207,1642,235604
"ft53",26950,13418,743451
"ft53",26488,13839,784195
"ft53",24805,13496,678263
"ft53",25382,12907,750021
"ft53",24832,12781,819700
"ft53",25614,12652,1090758
"ft53",26365,12501,874390
"ft53",27200,14096,860579
"ft53",27364,13079,843433
"ft53",27976,14915,790790
"ft53",25954,13804,811295
"ft53",27754,11680,821488
"ft53",25715,12335,800490
"ft53",25197,11799,766130
"ft53",25153,11375,835664
"ft53",23174,13770,742286
"ft53",24893,12896,734943
"ft53",25734,13820,697798
"ft53",27352,12802,737417
"ft53",27655,12836,939194
"ft53",26383,13093,867359
"ft53",27180,12623,719376
"ft53",24559,12030,717033
"ft53",23945,11815,866015
"ft53",25065,12001,889477
"ft53",25687,14873,833043
"ft53",25800,13238,839925
"ft53",25794,12323,774485
"ft53",23165,11883,727210
"ft53",27019,12393,957483
"ftv33",4283,1849,483517
"ftv33",5009,2022,581819
"ftv33",4475,1799,558976
"ftv33",4389,2029,586220
"ftv33",4379,2038,530168
"ftv33",4006,1957,504664
"ftv33",4566,2029,682299
"ftv33",4618,1949,567447
"ftv33",4081,1791,534147
"ftv33",4628,1917,680824
"ftv33",4476,1908,557227
"ftv33",3982,2029,555968
"ftv33",4565,1795,529994
"ftv33",4425,2060,522438
"ftv33",4444,1793,581894
"ftv33",4718,1817,607405
"ftv33",4339,1862,613755
"ftv33",3989,1914,530792
"ftv33",4065,1895,571475
"ftv33",4692,1938,510217
"ftv33",4605,2040,549646
"ftv33",4480,2012,474926
"ftv33",3763,2082,554838
"ftv33",4615,2079,508158
"ftv33",4720,1796,570170
"ftv33",4558,2020,584382
"ftv33",4674,1962,548752
"ftv33",4486,2089,506841
"ftv33",4660,2037,598073
"ftv33",4207,1642,598345
"ftv35",5547,2393,591543
"ftv35",5253,2329,671588
"ftv35",4807,2177,849288
"ftv35",4462,2208,725046
"ftv35",5083,2268,736824
"ftv35",4749,2043,723701
"ftv35",5102,2090,704055
"ftv35",5252,2110,646914
"ftv35",5052,2307,664508
"ftv35",5152,2305,697970
"ftv35",5470,2302,610636
"ftv35",4506,2023,747313
"ftv35",4896,2074,649899
"ftv35",4498,2199,586950
"ftv35",4352,2208,657939
"ftv35",4416,2167,722072
"ftv35",4968,1999,638827
"ftv35",4759,2141,734779
"ftv35",5191,2035,658279
"ftv35",5082,2097,771049
"ftv35",5101,2018,647485
"ftv35",5248,2194,660340
"ftv35",4644,2081,714616
"ftv35",5312,2161,695769
"ftv35",4529,2378,523108
"ftv35",4843,2443,808587
"ftv35",4589,2137,842010
"ftv35",4672,2204,678497
"ftv35",4877,2141,715661
"ftv35",4456,2317,559777
"ftv38",5434,2342,789906
"ftv38",5114,2501,688918
"ftv38",5184,2328,982549
"ftv38",5193,2246,834591
"ftv38",4667,1937,828915
"ftv38",5153,2366,701736
"ftv38",5536,2507,789111
"ftv38",5531,2450,1022522
"ftv38",4991,2466,747290
"ftv38",5579,2420,902455
"ftv38",5352,2104,784656
"ftv38",5397,2295,880718
"ftv38",5396,2145,757714
"ftv38",5321,2120,778924
"ftv38",5264,2428,924140
"ftv38",5764,2377,861746
"ftv38",5292,2248,932994
"ftv38",5067,2434,818079
"ftv38",5368,2278,803699
"ftv38",4910,2194,823462
"ftv38",4594,2646,651800
"ftv38",5142,2211,781947
"ftv38",4962,2399,800872
"ftv38",5149,2259,864563
"ftv38",4885,2355,815285
"ftv38",5477,2420,902358
"ftv38",4967,2563,830491
"ftv38",4994,2310,829914
"ftv38",5468,2337,878808
"ftv38",5071,2466,850626
"ftv44",6293,2605,1128330
"ftv44",6622,2654,1173589
"ftv44",6719,2747,1397945
"ftv44",6128,2793,1196005
"ftv44",5530,2623,1307154
"ftv44",5938,2750,1190762
"ftv44",6331,2674,1152998
"ftv44",5852,2843,1269199
"ftv44",6865,2945,1218000
"ftv44",6022,2757,1329551
"ftv44",5901,2468,1264656
"ftv44",6211,2431,1257480
"ftv44",5846,2657,1174082
"ftv44",6043,2610,1212837
"ftv44",5755,2627,1392284
"ftv44",6130,2683,1287834
"ftv44",6278,2421,1414985
"ftv44",6058,2775,1227660
"ftv44",6353,3051,1297608
"ftv44",6317,2680,1259868
"ftv44",5822,2664,1100692
"ftv44",6228,2472,1102874
"ftv44",5679,2997,1212944
"ftv44",6108,2633,1223997
"ftv44",6353,2586,1260857
"ftv44",5961,2855,1117417
"ftv44",6233,2890,1062461
"ftv44",5591,2847,1237262
"ftv44",6311,2577,1371510
"ftv44",6057,2883,1034381
"ftv47",6594,3072,1676772
"ftv47",6614,3057,1300212
"ftv47",6279,3236,1504430
"ftv47",7050,2837,1400854
"ftv47",6355,2969,1450437
"ftv47",6554,3112,1624442
"ftv47",6129,2793,1367877
"ftv47",6982,2978,1753821
"ftv47",6723,2530,1504507
"ftv47",7389,2960,1608680
"ftv47",6811,3048,1648956
"ftv47",6832,2777,1441750
"ftv47",7221,2736,1685527
"ftv47",6697,2817,1440099
"ftv47",6907,3562,1504149
"ftv47",6690,3277,1212621
"ftv47",6603,2893,1247677
"ftv47",7316,2818,1543719
"ftv47",6438,2743,1446552
"ftv47",7263,3031,1583202
"ftv47",6736,2834,1354797
"ftv47",6627,3003,1624967
